component_id,part_name,weight
C-0276,MANIFOLD,4.59
C-0381,TUBE,3.855
C-0384,TUBE,7.207
C-0629,TUBE,0.21
C-0535,TUBE,0.181
C-0560,TUBE,0.082
C-1516,BAFFLE,2.225
C-0571,PIPE,0.896
C-0589,CONNECTOR,0.157
C-0594,FLANGE,0.458
C-0595,TUBE,0.93
C-0659,PLATE,0.441
C-0574,BLOCK,0.423
C-1522,TUBE-BAFFLE,2.372
C-0686,TUBE AS.,0.119
C-0687,BLOCK,6.804
C-0184,PLATE,0.323
C-0712,PLATE,0.184
C-0730,TUBE,0.363
C-0754,BOSS,0.417
C-1525,PLATE,0.055
C-0758,TUBE-BAFFLE,2.011
C-0856,PLATE,0.068
C-2037,SEAL-O-RING,0.001
C-0897,COUPLING,0.241
C-0928,BRACKET,0.048
C-0669,PLATE,0.369
C-1597,BOLT-HEX HEAD,0.031
C-0670,TUBE,0.208
C-0969,TUBE,0.284
C-0786,TUBE,7.352
C-0985,TUBE-WATER,2.227
C-2013,COUPLING,0.22
C-0935,NUT-A/C,0.015
C-1306,FLANGE,0.148
C-1146,CAP AS,0.046
C-0633,PLATE,0.107
C-1018,CONNECTOR-WELD,0.074
C-1025,TUBE,0.997
C-1033,RING,0.394
C-1031,GUSSET,0.807
C-1060,PLATE,0.033
C-1053,TUBE,1.65
C-1056,TUBE AS,0.031
C-1057,PIPE,2.619
C-1091,CONNECTOR-WELD,0.092
C-1063,PLATE,0.829
C-1079,PLATE AS,0.877
C-1111,BOSS,0.226
C-1008,ELBOW-CAST,0.329
C-0491,ADAPTER,0.127
C-1122,TUBE,0.461
C-1128,TUBE AS-COUPLING,1.561
C-1134,TUBE,0.854
C-1140,BOSS,0.058
C-1161,BOSS,0.321
C-1164,TUBE,0.778
C-1277,FLANGE,0.232
C-0937,BLOCK CONNECTION,0.134
C-1263,TUBE,4.633
C-1269,FLANGE,1.463
C-1274,BOSS,0.115
C-1285,FLANGE,1.219
C-1287,FLANGE,2.015
C-1282,BRACKET,1.132
C-1286,HEAD-FLANGED,0.599
C-1284,FLANGE,0.725
C-1186,BOSS,0.259
C-1296,BRACKET,0.719
C-1299,TUBE AS,0.026
C-1304,FLANGE,2.316
C-1519,WASHER,0.723
C-1529,CONNECTOR,0.122
C-1930,TUBE,0.26
C-0026,TUBE,0.032
C-0176,UNION-TUBE,0.476
C-0351,PLATE AS,2.16
C-0277,MANIFOLD-FUEL,3.5
C-0630,TUBE,0.177
C-0660,TUBE,0.567
C-1982,PLATE,0.025
C-0662,PLATE,0.102
C-0489,PLATE,0.91
C-0692,TUBE,0.109
C-0857,ROD,0.396
C-0204,PLATE,0.088
C-0671,TUBE,0.194
C-0918,PLATE AS.,0.53
C-0986,PLATE,0.3
C-0936,HEAD-ADAPTER,0.015
C-0908,PLATE,0.16
C-1002,PLATE,0.266
C-1026,BRACKET,1.559
C-1054,TUBE,0.467
C-1092,CONNECTOR-WELD,0.238
C-1064,TUBE,5.928
C-1087,TUBE,2.786
C-1088,TUBE,3.043
C-1129,PLATE,1.255
C-1073,PLATE,0.031
C-1173,BRACKET,0.175
C-1270,BOSS,0.198
C-1267,BOSS,0.173
C-1294,BOSS,0.19
C-1991,TEE,2
C-0148,ELBOW,0.375
C-0352,PLATE,0.39
C-0379,TUBE,3.7
C-0289,TUBE,1.12
C-0664,TUBE,0.619
C-0665,TUBE,1.225
C-0666,TUBE,2.716
C-0690,TUBE,0.692
C-0691,TUBE,0.273
C-0693,TUBE,0.189
C-0694,TUBE,0.799
C-0756,TUBE,0.689
C-0858,TUBE,0.983
C-0870,TUBE,1.232
C-0798,TUBE,0.198
C-0753,TUBE,0.282
C-0981,PLATE,0.524
C-0991,PLATE-OUTER,0.813
C-0909,PLATE,0.034
C-1012,POST,0.286
C-1016,TUBE,0.298
C-1055,PLATE,0.208
C-1084,TUBE,0.602
C-1147,PLATE,0.018
C-1271,BOSS,0.205
C-0279,TUBE,0.908
C-0353,PIPE,0.326
C-0557,PLATE,1.178
C-0663,TUBE,3.771
C-0695,BLOCK,2.977
C-0933,PLATE,1.207
C-0967,BRACKET,1.138
C-0992,BLOCK,1.05
C-1011,TUBE,1.607
C-1015,TUBE,0.666
C-1070,TUBE,0.97
C-0934,PLATE,0.701
C-0355,PLATE,1.2
C-0968,TUBE,6.596
C-1049,BRACKET,1.182
