tube_assembly_id,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8
TA-04897,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04898,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04899,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04900,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04901,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04902,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04903,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04904,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04905,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04906,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04907,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04908,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04909,C-1622,1,C-1623,1,C-1629,1,C-1658,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-04910,C-0415,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04911,C-0415,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04912,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04913,C-1848,2,C-0001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04914,C-1848,2,C-0001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04915,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04916,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04919,C-0444,1,C-0445,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04920,C-0444,1,C-0445,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04921,C-1848,2,C-0001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04922,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04923,C-1621,1,C-1628,1,C-1638,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04926,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04927,C-1848,2,C-0001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04930,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04931,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04932,C-1625,2,C-1632,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04933,C-1625,2,C-1632,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04934,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04935,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04936,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04937,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04939,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04940,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04941,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04942,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04943,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04944,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04945,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04946,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04947,C-1587,1,C-2019,1,C-0284,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04948,C-1622,1,C-1629,1,C-1639,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04949,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04951,C-1860,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04952,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04954,C-1781,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04955,C-1779,1,C-1781,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04956,C-1781,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04957,C-1779,1,C-1781,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04958,C-1768,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04959,C-1779,1,C-1781,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04960,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04961,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04962,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04963,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04964,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04965,C-1213,1,C-1215,1,C-1469,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04966,C-1214,1,C-1216,1,C-1475,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04967,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04968,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04969,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04970,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04971,C-0486,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04972,C-1432,1,C-1947,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04973,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04974,C-1355,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04976,C-1863,1,C-0035,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04977,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04978,C-1622,1,C-1629,1,C-0528,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04979,C-1432,1,C-1947,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04980,C-0096,2,C-0097,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04981,C-0096,2,C-0097,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04982,C-0101,2,C-0102,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04983,C-0101,2,C-0102,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04984,C-0101,2,C-0102,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04985,C-0096,2,C-0097,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04986,C-0096,2,C-0097,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04987,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04988,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04989,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04990,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04991,C-1255,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04992,C-1255,1,C-1461,1,C-1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04993,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04994,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04995,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04996,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04997,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04998,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-04999,C-1312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05000,C-1623,1,C-1630,1,C-0063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05001,C-1621,1,C-1628,1,C-1638,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05002,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05004,C-0199,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05005,C-0199,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05006,C-2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05007,C-1623,1,C-1630,1,C-0121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05008,C-1622,1,C-1629,1,C-1739,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05009,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05010,C-1577,2,C-0003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05011,C-1622,1,C-1629,1,C-1885,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05012,C-1623,1,C-1630,1,C-1640,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05013,C-0518,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05016,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05017,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05018,C-1778,1,C-1781,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05019,C-1623,2,C-1630,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05020,C-1623,2,C-1630,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05021,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05022,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05023,C-1533,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05024,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05025,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05026,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05027,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05032,C-1622,1,C-1624,1,C-1629,1,C-1655,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-05033,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05034,C-0170,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05035,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05036,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05037,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05038,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05039,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05040,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05041,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05042,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05043,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05044,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05045,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05046,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05047,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05048,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05049,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05050,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05051,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05052,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05053,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05054,C-0170,1,C-0540,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05055,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05056,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05057,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05058,C-1621,1,C-1628,1,C-1638,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05059,C-1622,1,C-1629,1,C-1639,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05060,C-1622,1,C-1629,1,C-1639,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05061,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05062,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05063,C-1622,1,C-1629,1,C-1639,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05064,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05065,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05066,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05067,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05068,C-1623,2,C-1630,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05069,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05070,C-1587,2,C-1606,1,C-0284,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05071,C-1587,2,C-1606,1,C-0284,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05073,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05074,C-0448,1,C-0449,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05075,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05076,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05077,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05078,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05079,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05081,C-1849,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05082,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05083,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05084,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05085,C-0832,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05086,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05087,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05088,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05089,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05090,C-0829,1,C-2019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05091,C-1623,1,C-1624,1,C-1630,1,C-1654,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-05092,C-1623,1,C-1624,1,C-1630,1,C-1654,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-05093,C-1623,1,C-1624,1,C-1630,1,C-1654,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-05094,C-1623,1,C-1624,1,C-1630,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05095,C-1639,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05097,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05098,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05099,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05100,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05101,C-0507,1,C-0508,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05102,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05103,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05104,C-1622,1,C-1629,1,C-1639,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05105,C-1622,1,C-1629,1,C-1639,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05106,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05107,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05108,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05109,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05110,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05111,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05112,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05113,C-0509,1,C-0511,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05114,C-0510,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05115,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05116,C-1622,1,C-1624,1,C-1629,1,C-1655,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-05117,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05118,C-1621,1,C-1628,1,C-1761,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05119,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05120,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05121,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05122,C-0851,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05124,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05125,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05126,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05128,C-1622,1,C-1629,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05129,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05132,C-1625,1,C-1632,1,C-0273,1,C-0512,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-05133,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05135,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05136,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05137,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05138,C-1420,1,C-1421,1,C-0045,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05139,C-1373,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05140,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05141,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05142,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05143,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05144,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-05145,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
