tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other
TA-06318,SP-0039,6.35,0.71,258,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06319,SP-0035,6.35,0.71,63,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06320,SP-0029,9.52,1.24,29,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06321,SP-0029,9.52,1.24,11,1,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06322,SP-0029,9.52,1.24,25,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06323,SP-0019,6.35,0.71,104,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06324,SP-0029,25.4,3.05,33,1,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-06325,SP-0019,6.35,0.71,121,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06326,SP-0029,9.52,0.89,44,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06327,SP-0029,9.52,0.89,30,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06328,SP-0029,9.52,0.89,52,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06329,SP-0029,9.52,0.89,78,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06330,SP-0029,9.52,0.89,69,4,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06331,SP-0029,9.52,0.89,66,4,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06332,SP-0029,9.52,0.89,75,4,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06333,SP-0029,9.52,0.89,57,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06334,SP-0029,9.52,0.89,41,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06335,SP-0029,25.4,1.65,84,2,50.8,N,N,N,N,NONE,NONE,2,1,1
TA-06336,SP-0035,12.7,1.65,203,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06337,SP-0019,6.35,0.71,151,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06338,SP-0019,6.35,0.71,151,6,16.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06339,SP-0019,6.35,0.71,67,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06340,SP-0035,12.7,1.65,230,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06341,SP-0019,6.35,0.71,191,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06342,SP-0019,6.35,0.71,191,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06343,SP-0019,6.35,0.71,109,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06344,SP-0019,6.35,0.71,95,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06345,SP-0019,6.35,0.71,144,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06346,SP-0029,31.75,3.05,130,2,50.8,N,N,N,N,EF-003,EF-023,0,0,0
TA-06347,SP-0029,31.75,3.05,130,2,50.8,N,N,N,N,EF-003,EF-023,0,0,0
TA-06348,SP-0029,12.7,1.65,31,2,25.4,N,N,N,N,EF-003,EF-003,0,0,0
TA-06349,SP-0029,31.75,3.05,120,2,50.8,N,N,N,N,EF-003,EF-023,0,0,0
TA-06350,SP-0029,31.75,3.05,120,2,50.8,N,N,N,N,EF-003,EF-023,0,0,0
TA-06351,SP-0029,15.88,1.65,232,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06352,SP-0029,15.88,1.65,19,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06353,SP-0029,15.88,1.65,182,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06354,SP-0029,15.88,1.65,27,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06355,SP-0029,15.88,1.65,27,1,50.8,Y,Y,N,N,EF-003,EF-003,0,0,0
TA-06356,SP-0035,9.52,1.65,63,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06357,SP-0035,19.05,1.24,41,4,38.1,Y,Y,N,N,EF-003,EF-018,0,0,0
TA-06358,SP-0029,9.52,1.24,49,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06359,SP-0035,9.52,0.89,72,5,19.05,N,N,N,N,EF-018,EF-019,0,0,0
TA-06360,SP-0035,9.52,1.65,66,7,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06361,SP-0029,25.4,1.65,141,8,50.8,N,N,N,Y,EF-017,NONE,0,1,0
TA-06362,SP-0029,15.88,1.65,221,2,11.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-06363,SP-0029,15.88,1.65,132,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06364,SP-0039,6.35,0.71,154,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06365,SP-0039,6.35,0.71,154,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06366,SP-0039,6.35,0.71,169,1,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06367,SP-0039,6.35,0.71,226,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06368,SP-0039,6.35,0.71,221,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06369,SP-0039,6.35,0.71,78,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06370,SP-0039,6.35,0.71,78,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06371,SP-0039,6.35,0.71,199,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06372,SP-0039,6.35,0.71,182,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06373,SP-0028,63.5,1.65,103,3,101.6,N,Y,N,N,EF-017,EF-017,2,0,0
TA-06374,SP-0035,12.7,1.65,21,2,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-06375,SP-0039,6.35,0.71,126,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06376,SP-0039,6.35,0.71,115,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06377,SP-0029,31.75,1.65,82,3,76.2,N,Y,N,Y,EF-003,EF-003,0,0,0
TA-06378,SP-0035,9.52,1.24,69,6,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06379,SP-0028,38.1,1.65,25,1,63.5,Y,Y,N,N,EF-023,NONE,0,0,0
TA-06380,SP-0028,63.5,1.65,20,0,0,N,N,N,N,EF-023,NONE,0,0,0
TA-06381,SP-0046,34,4,171,3,90,N,N,N,N,EF-021,EF-021,0,0,0
TA-06382,SP-0046,27.2,3.2,162,4,70,N,N,N,N,EF-021,EF-021,0,0,0
TA-06383,SP-0046,27.2,3.2,75,2,70,N,N,N,N,EF-021,EF-021,0,0,0
TA-06384,SP-0046,34,4,119,3,90,N,Y,N,N,EF-021,EF-021,0,0,0
TA-06385,SP-0029,12.7,1.24,99,4,38.1,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06386,SP-0029,12.7,1.24,106,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06387,SP-0029,15.88,1.65,222,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06388,SP-0029,15.88,1.65,222,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06389,SP-0029,15.88,1.65,201,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06390,SP-0028,50.8,1.65,64,3,101.6,Y,Y,Y,Y,EF-017,EF-017,1,0,0
TA-06391,SP-0029,15.88,1.65,255,0,0,N,N,N,N,EF-003,EF-003,0,0,0
TA-06392,SP-0029,12.7,1.65,119,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06393,SP-0029,15.88,1.65,70,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06394,SP-0035,6.35,0.71,263,10,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06395,SP-0035,6.35,0.71,242,9,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06396,SP-0035,6.35,0.71,270,10,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06397,SP-0029,15.88,1.65,202,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06398,SP-0029,38.1,1.65,55,2,101.6,N,N,N,N,NONE,EF-017,0,0,0
TA-06399,SP-0029,50.8,1.65,59,2,101.6,N,Y,N,N,NONE,EF-017,0,0,0
TA-06400,SP-0029,15.88,1.65,113,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06401,SP-0029,15.88,1.65,111,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06402,SP-0029,15.88,1.65,93,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06403,SP-0029,15.88,1.65,92,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06404,SP-0029,15.88,1.65,219,1,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06405,SP-0029,15.88,1.65,156,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06406,SP-0029,15.88,1.65,157,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06407,SP-0029,15.88,1.65,134,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06408,SP-0029,15.88,1.65,224,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06409,SP-0029,15.88,1.65,189,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06410,SP-0029,15.88,1.65,190,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06411,SP-0029,19.05,1.65,68,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06412,SP-0029,19.05,1.65,54,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06413,SP-0035,9.52,1.65,38,5,19.05,N,N,N,N,EF-003,NONE,0,0,0
TA-06414,SP-0028,50.8,1.65,53,2,101.6,N,Y,N,N,EF-017,EF-017,0,0,0
TA-06415,SP-0028,50.8,1.65,71,2,101.6,N,N,N,Y,EF-017,EF-017,0,0,0
TA-06416,SP-0028,50.8,1.65,56,2,101.6,N,Y,N,N,EF-017,EF-017,0,0,0
TA-06417,SP-0028,63.5,1.65,71,2,101.6,N,Y,N,Y,EF-017,EF-017,0,0,0
TA-06418,SP-0028,25.4,1.65,17,1,63.5,N,N,N,N,EF-017,EF-017,0,0,0
TA-06419,SP-0029,25.4,3.05,81,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06420,SP-0028,63.5,1.65,95,2,152.4,N,N,N,N,EF-017,EF-017,0,0,0
TA-06421,SP-0029,76.2,1.65,80,2,114.3,N,Y,N,N,EF-017,EF-017,0,0,0
TA-06422,SP-0035,9.52,1.65,62,7,19.05,N,Y,N,N,EF-018,EF-018,0,0,0
TA-06423,SP-0035,15.88,1.65,47,3,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-06424,SP-0029,19.05,1.24,167,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06425,SP-0029,19.05,1.24,139,6,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06426,SP-0028,19.05,1.65,60,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06427,SP-0029,88.9,1.65,101,1,88.9,N,N,Y,Y,EF-009,EF-009,0,0,0
TA-06428,SP-0035,7.94,0.89,80,4,25.4,N,N,N,N,EF-003,EF-017,0,0,0
TA-06429,SP-0035,9.52,1.24,70,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06430,SP-0035,9.52,1.24,37,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06431,SP-0029,12.7,1.24,72,3,25.4,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06432,SP-0029,15.88,1.24,94,6,38.1,N,N,N,Y,EF-003,EF-003,0,0,0
TA-06433,SP-0029,15.88,1.24,99,5,38.1,N,N,N,Y,EF-003,EF-003,0,0,0
TA-06434,SP-0029,15.88,1.24,59,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06435,SP-0029,15.88,1.24,65,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06436,SP-0029,15.88,1.24,108,6,38.1,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06437,SP-0029,15.88,1.65,223,1,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06438,SP-0029,15.88,1.65,221,0,0,N,N,N,N,EF-003,EF-003,0,0,0
TA-06439,SP-0029,15.88,1.65,226,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06440,SP-0029,15.88,1.65,85,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06441,SP-0029,15.88,1.65,78,2,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06442,SP-0029,15.88,2.41,223,1,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06443,SP-0029,15.88,2.41,221,0,0,N,N,N,N,EF-003,EF-003,0,0,0
TA-06444,SP-0029,15.88,2.41,226,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06445,SP-0029,15.88,2.41,140,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06446,SP-0029,9.52,0.89,63,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06447,SP-0046,66.7,7.9,211,2,180,N,N,N,N,NONE,NONE,0,0,0
TA-06448,SP-0046,66.7,7.9,211,2,180,N,N,N,N,NONE,NONE,0,0,0
TA-06449,SP-0046,66.7,7.9,351,2,180,N,N,N,N,NONE,NONE,0,0,0
TA-06450,SP-0046,66.7,7.9,351,2,180,N,N,N,N,NONE,NONE,0,0,0
TA-06451,SP-0029,12.7,1.65,72,4,25.4,N,N,N,N,EF-003,EF-003,0,0,0
TA-06452,SP-0029,12.7,1.65,80,5,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06453,SP-0029,12.7,1.65,135,7,25.4,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06454,SP-0029,12.7,1.65,148,7,25.4,N,N,N,N,EF-003,EF-003,0,0,0
TA-06455,SP-0029,76.2,1.65,73,2,152.4,N,N,Y,Y,EF-017,EF-017,1,0,0
TA-06456,SP-0028,50.8,1.65,87,2,101.6,N,Y,N,N,EF-023,NONE,0,0,0
TA-06457,SP-0029,15.88,2.41,28,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06458,SP-0029,15.88,2.41,51,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06459,SP-0029,101.6,1.65,197,2,152.4,N,N,N,N,EF-023,EF-023,0,0,0
TA-06460,SP-0029,9.52,1.24,105,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06461,SP-0029,9.52,1.24,40,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06462,SP-0035,9.52,1.65,29,3,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06463,SP-0035,9.52,1.65,53,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06464,SP-0029,9.52,0.89,7,1,19.05,N,Y,N,N,EF-003,EF-017,0,0,0
TA-06465,SP-0029,25.4,1.65,40,2,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-06466,SP-0029,38.1,3.05,96,3,63.5,N,N,Y,Y,EF-012,EF-012,0,0,0
TA-06467,SP-0029,38.1,3.05,131,3,76.2,N,N,N,N,EF-012,EF-012,0,0,0
TA-06468,SP-0029,12.7,1.24,107,3,38.1,N,N,N,N,EF-003,EF-023,0,0,0
TA-06469,SP-0029,12.7,1.24,108,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06470,SP-0029,15.88,1.65,43,3,38.1,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06471,SP-0029,15.88,1.65,44,3,38.1,N,N,N,Y,EF-003,EF-003,0,0,0
TA-06472,SP-0029,19.05,1.24,135,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06473,SP-0029,22.22,1.65,135,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06474,SP-0029,22.22,1.65,150,7,63.5,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06475,SP-0029,19.05,1.65,151,7,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06476,SP-0029,31.75,3.05,229,7,76.2,N,N,N,Y,EF-012,EF-012,0,0,0
TA-06477,SP-0029,19.05,1.65,45,3,38.1,N,N,N,N,NONE,NONE,0,0,0
TA-06478,SP-0029,19.05,1.65,47,4,38.1,N,N,N,N,NONE,NONE,0,0,0
TA-06479,SP-0029,19.05,1.65,37,2,50.8,N,N,N,N,NONE,EF-003,0,0,0
TA-06480,SP-0029,19.05,1.65,113,5,50.8,N,N,N,N,NONE,EF-003,0,0,0
TA-06481,SP-0029,22.22,3.05,193,4,63.5,N,Y,N,N,NONE,NONE,1,0,0
TA-06482,SP-0037,6.35,0.89,74,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06483,SP-0035,9.52,1.65,34,5,19.05,N,N,N,N,EF-015,EF-015,0,0,0
TA-06484,SP-0029,88.9,1.65,47,1,88.9,N,N,Y,Y,EF-009,NONE,0,0,0
TA-06485,SP-0029,31.75,3.05,85,5,63.5,Y,Y,N,Y,EF-003,EF-003,0,0,0
TA-06486,SP-0029,9.52,1.24,36,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06487,SP-0029,15.88,1.65,106,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06488,SP-0029,19.05,1.65,106,5,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06489,SP-0029,19.05,1.65,97,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06490,SP-0029,19.05,1.65,101,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06491,SP-0029,19.05,1.65,94,4,50.8,Y,Y,N,N,EF-003,EF-003,0,0,0
TA-06492,SP-0029,19.05,1.65,175,7,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06493,SP-0029,19.05,1.65,161,7,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06494,SP-0028,6.35,0.89,35,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06495,SP-0035,9.52,1.65,47,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06496,SP-0029,9.52,0.89,137,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06497,SP-0029,9.52,0.89,157,6,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06498,SP-0035,9.52,1.24,51,4,19.05,N,N,N,N,EF-003,EF-018,0,0,0
TA-06499,SP-0028,44.45,1.65,64,2,88.9,N,Y,N,N,EF-023,NONE,0,0,0
TA-06500,SP-0029,31.75,1.65,170,5,50.8,N,N,N,N,EF-003,EF-010,0,0,0
TA-06501,SP-0028,25.4,1.65,43,3,50.8,N,N,N,N,EF-003,EF-009,0,0,0
TA-06502,SP-0029,101.6,1.65,128,3,150,N,N,N,N,EF-017,EF-017,0,0,0
TA-06503,SP-0029,22.22,3.05,186,4,63.5,N,Y,N,N,NONE,NONE,1,0,0
TA-06504,SP-0029,15.88,1.65,58,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06505,SP-0029,12.7,1.65,44,2,25.4,N,N,N,N,EF-003,EF-003,0,0,0
TA-06506,SP-0035,12.7,1.24,120,5,25.4,N,N,N,N,EF-018,EF-017,0,0,0
TA-06507,SP-0029,12.7,1.65,104,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06508,SP-0019,6.35,0.71,73,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06509,SP-0019,6.35,0.71,134,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-06510,SP-0035,25.4,1.65,43,2,80.8,N,N,N,N,EF-017,EF-017,0,0,0
TA-06511,SP-0035,25.4,1.65,24,1,50.8,N,N,N,N,EF-018,EF-017,0,0,0
TA-06512,SP-0035,25.4,1.65,13,1,50.8,N,N,N,N,EF-018,EF-017,0,0,0
TA-06513,SP-0029,12.7,1.24,47,1,25.4,N,N,N,N,EF-003,EF-003,0,0,0
TA-06514,SP-0035,25.4,1.65,23,1,50.8,N,N,N,N,EF-018,EF-017,0,0,0
TA-06515,SP-0029,19.05,2.11,81,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06516,SP-0029,19.05,2.11,81,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06517,SP-0029,12.7,1.24,92,5,25.4,N,N,N,N,EF-003,EF-003,0,0,0
TA-06518,SP-0029,9.52,0.89,76,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06519,SP-0046,66.7,7.9,141,2,180,N,N,N,Y,NONE,NONE,0,0,0
TA-06520,SP-0029,15.88,1.65,121,6,90,N,N,N,N,EF-003,EF-003,0,0,0
TA-06521,SP-0029,15.88,1.65,33,1,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06522,SP-0029,15.88,1.65,61,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06523,SP-0029,9.52,1.65,26,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06524,SP-0029,19.05,3.05,215,0,0,N,N,N,N,EF-003,EF-003,0,0,0
TA-06525,SP-0028,6.35,0.89,20,2,19.05,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06526,SP-0029,12.7,0.89,74,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06527,NA,19.05,2.11,100,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06528,SP-0029,15.88,1.65,186,6,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06529,SP-0029,15.88,1.65,150,5,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06530,SP-0029,15.88,1.65,13,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06531,SP-0029,15.88,1.65,24,1,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06532,SP-0029,15.88,1.65,15,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06533,SP-0029,15.88,1.65,19,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06534,SP-0029,15.88,1.65,16,1,38.1,N,N,N,Y,EF-003,EF-003,0,0,0
TA-06535,SP-0035,9.52,1.65,32,3,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06536,SP-0029,9.52,0.89,31,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06537,SP-0028,25.4,1.65,126,6,63.5,N,N,N,N,EF-018,EF-018,0,0,0
TA-06538,SP-0028,25.4,1.65,161,7,50.8,N,Y,N,N,EF-018,EF-018,0,0,0
TA-06539,SP-0028,63.5,1.65,54,2,101.6,N,N,N,Y,EF-017,EF-017,1,0,0
TA-06540,SP-0029,31.75,3.05,79,3,63.5,N,N,Y,Y,EF-003,EF-003,0,0,0
TA-06541,SP-0029,9.52,1.24,44,5,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-06542,SP-0029,19.05,1.65,144,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06543,SP-0029,19.05,1.65,154,4,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
TA-06544,SP-0029,19.05,1.65,136,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06545,SP-0029,19.05,1.65,144,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06546,SP-0029,19.05,2.11,108,4,50.8,Y,Y,N,N,EF-003,EF-003,0,0,0
TA-06547,SP-0029,19.05,2.11,100,4,50.8,Y,Y,N,N,EF-003,EF-003,0,0,0
TA-06548,SP-0035,9.52,1.24,87,5,19.05,N,N,N,N,EF-003,EF-018,0,0,0
TA-06549,SP-0029,19.05,1.65,181,7,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06550,SP-0029,19.05,1.65,178,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06551,SP-0035,9.52,1.24,106,9,19.05,N,N,N,N,EF-003,EF-018,0,0,0
TA-06552,NA,15.88,1.65,42,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06553,NA,15.88,1.65,42,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-06554,SP-0035,9.52,1.65,55,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06555,SP-0035,9.52,1.65,41,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06556,SP-0028,6.35,0.89,22,2,140.9,N,N,N,Y,EF-003,EF-003,0,0,0
TA-06557,SP-0029,9.52,0.89,33,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06558,SP-0029,9.52,0.89,98,4,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06559,SP-0029,9.52,0.89,126,4,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06560,SP-0029,9.52,0.89,29,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06561,SP-0029,9.52,0.89,27,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06562,SP-0029,19.05,1.24,74,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06563,SP-0035,9.52,1.24,106,8,19.05,N,N,N,N,EF-003,EF-018,0,0,0
TA-06564,SP-0029,19.05,1.24,76,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-06565,SP-0035,12.7,0.89,89,4,25.4,N,N,N,N,EF-018,EF-018,0,0,0
TA-06566,SP-0035,12.7,0.89,89,4,25.4,N,N,N,N,EF-018,EF-018,0,0,0
TA-06567,SP-0029,127,1.65,31,1,139.7,N,Y,N,N,EF-017,EF-017,0,0,0
TA-06568,SP-0029,9.52,0.89,232,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06569,SP-0029,9.52,0.89,224,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-06570,SP-0028,9.52,0.89,28,3,19.05,N,N,N,N,EF-018,EF-017,0,0,0
TA-06571,SP-0035,9.52,1.65,50,3,19.05,N,N,N,N,EF-018,EF-017,0,0,0
TA-06572,SP-0046,12,1.5,97,5,30,N,N,N,N,EF-001,EF-001,0,0,0
TA-06573,SP-0046,12,1.5,122,5,30,N,N,N,N,EF-001,EF-001,0,0,0
TA-06574,SP-0046,12,1.5,156,2,30,N,N,N,N,EF-001,EF-001,0,0,0
TA-06575,SP-0046,12,1.5,156,2,30,N,N,N,N,EF-001,EF-001,0,0,0
TA-06576,SP-0046,12,1.5,164,4,30,N,N,N,N,EF-001,EF-001,0,0,0
TA-06577,SP-0046,12,1.5,161,4,30,N,N,N,N,EF-001,EF-001,0,0,0
TA-06578,SP-0046,12,1.5,167,4,30,N,N,N,N,EF-001,EF-001,0,0,0
TA-06579,SP-0029,31.75,1.65,29,2,76.2,Y,Y,N,N,EF-003,EF-017,0,0,0
TA-06580,SP-0029,31.75,1.65,13,0,0,N,N,N,N,EF-003,EF-017,0,0,0
TA-06581,SP-0029,31.75,1.65,46,2,76.2,N,Y,N,N,EF-003,EF-017,0,0,0
TA-06582,SP-0029,31.75,1.65,40,1,76.2,N,N,N,N,EF-003,EF-017,0,0,0
TA-06583,SP-0029,31.75,1.65,37,1,76.2,N,N,Y,Y,EF-003,EF-017,0,0,0
TA-06584,SP-0035,9.52,0.89,93,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-06585,SP-0035,9.52,0.89,67,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
