id,log_feature,volume
9496,feature 87,1
12967,feature 170,6
15535,feature 54,1
15535,feature 170,3
14712,feature 170,4
14712,feature 54,4
8257,feature 54,1
8257,feature 170,1
7916,feature 170,1
14336,feature 68,1
14336,feature 206,1
14954,feature 54,13
14954,feature 170,18
17979,feature 170,16
17979,feature 54,13
733,feature 54,16
733,feature 170,23
13601,feature 170,20
13601,feature 54,18
13397,feature 170,2
13397,feature 54,4
5367,feature 54,1
10417,feature 68,1
10417,feature 170,1
13279,feature 87,1
13279,feature 219,1
13279,feature 209,1
13279,feature 134,1
18538,feature 86,1
18538,feature 207,1
18538,feature 170,2
18538,feature 54,4
3808,feature 207,1
3808,feature 170,2
17611,feature 170,3
6762,feature 170,2
8434,feature 203,18
8434,feature 82,42
8434,feature 71,5
8434,feature 193,4
10532,feature 201,2
10532,feature 71,7
10532,feature 82,2
10532,feature 193,7
10532,feature 80,2
17620,feature 193,11
17620,feature 172,3
17620,feature 82,3
17620,feature 56,3
17620,feature 71,14
15213,feature 198,1
15213,feature 172,3
15213,feature 82,21
15213,feature 203,6
15213,feature 76,1
15213,feature 56,3
15213,feature 193,11
15213,feature 71,11
5196,feature 193,15
5196,feature 172,4
5196,feature 203,9
5196,feature 56,6
5196,feature 71,14
5196,feature 82,17
4369,feature 193,8
4369,feature 172,2
4369,feature 56,1
4369,feature 203,38
4369,feature 71,9
4369,feature 82,77
8546,feature 71,15
8546,feature 193,7
8546,feature 82,148
8546,feature 203,56
8459,feature 82,108
8459,feature 193,4
8459,feature 203,28
8459,feature 71,6
13686,feature 193,1
13686,feature 203,8
13686,feature 82,32
13686,feature 71,3
14077,feature 82,8
14077,feature 71,1
14077,feature 203,7
14077,feature 193,1
12000,feature 193,3
12000,feature 71,3
12000,feature 203,18
12000,feature 82,30
12000,feature 80,1
12000,feature 201,2
18451,feature 71,6
18451,feature 82,36
18451,feature 193,4
3245,feature 203,24
3245,feature 82,48
3245,feature 193,2
3245,feature 71,3
15615,feature 80,2
15615,feature 82,24
15615,feature 201,1
15615,feature 203,3
15615,feature 193,4
15615,feature 71,3
15270,feature 82,31
15270,feature 71,11
15270,feature 193,6
15270,feature 203,6
10694,feature 82,27
10694,feature 193,6
10694,feature 203,17
10694,feature 172,9
10694,feature 71,5
10694,feature 56,7
17198,feature 193,1
17198,feature 203,16
17198,feature 172,4
17198,feature 56,2
17198,feature 82,29
17198,feature 71,1
13765,feature 193,8
13765,feature 82,32
13765,feature 203,12
13765,feature 56,2
13765,feature 71,8
13765,feature 172,2
11460,feature 82,18
11460,feature 71,9
11460,feature 203,16
11460,feature 193,7
1586,feature 71,13
1586,feature 203,16
1586,feature 193,12
1586,feature 82,17
4786,feature 80,1
4786,feature 172,7
4786,feature 193,3
4786,feature 71,5
4786,feature 203,44
4786,feature 201,2
4786,feature 82,66
4786,feature 56,7
16808,feature 193,13
16808,feature 82,88
16808,feature 71,15
16808,feature 203,60
2529,feature 82,64
2529,feature 71,7
2529,feature 193,5
2529,feature 203,42
5042,feature 82,4
5042,feature 203,2
742,feature 193,3
742,feature 71,4
742,feature 82,4
9190,feature 193,7
9190,feature 71,8
9190,feature 82,75
9190,feature 201,2
9190,feature 203,52
9190,feature 80,2
8909,feature 193,6
8909,feature 71,7
8909,feature 201,10
8909,feature 82,34
8909,feature 80,15
8909,feature 203,29
4978,feature 193,6
4978,feature 71,7
4978,feature 82,22
4978,feature 203,8
4440,feature 82,83
4440,feature 71,13
4440,feature 56,1
4440,feature 172,1
4440,feature 193,11
4440,feature 201,1
4440,feature 203,32
4440,feature 80,1
10548,feature 203,6
10548,feature 82,28
10548,feature 193,1
10548,feature 201,1
10548,feature 71,1
10548,feature 80,2
8304,feature 82,82
8304,feature 71,11
8304,feature 203,48
8304,feature 193,8
8304,feature 201,2
8304,feature 80,2
9411,feature 203,13
9411,feature 71,2
9411,feature 82,51
9411,feature 193,3
9411,feature 80,1
9411,feature 201,1
2121,feature 203,20
2121,feature 80,3
2121,feature 82,65
2121,feature 71,2
2121,feature 201,3
2121,feature 193,2
7860,feature 108,2
7860,feature 82,31
7860,feature 80,15
7860,feature 111,1
7860,feature 201,11
7860,feature 193,30
7860,feature 71,25
7860,feature 203,11
5034,feature 82,32
5034,feature 201,2
5034,feature 203,14
5034,feature 80,4
15130,feature 82,92
15130,feature 80,5
15130,feature 203,38
15130,feature 201,3
15130,feature 193,2
15130,feature 71,2
6801,feature 203,7
6801,feature 82,8
6801,feature 71,3
6801,feature 193,2
7748,feature 80,19
7748,feature 82,10
7748,feature 201,16
7748,feature 71,12
7748,feature 193,6
7748,feature 203,2
905,feature 193,4
905,feature 203,1
905,feature 82,2
905,feature 71,8
905,feature 201,41
905,feature 80,53
905,feature 111,2
3826,feature 71,9
3826,feature 193,6
15592,feature 71,5
15592,feature 203,11
15592,feature 193,6
15592,feature 82,16
13464,feature 193,5
13464,feature 71,11
13464,feature 82,16
263,feature 203,23
263,feature 82,42
263,feature 317,1
263,feature 193,2
263,feature 71,3
4815,feature 71,4
4815,feature 203,25
4815,feature 193,4
4815,feature 82,40
11738,feature 80,7
11738,feature 219,1
11738,feature 201,1
11738,feature 56,9
11738,feature 71,3
11738,feature 82,30
15090,feature 193,9
15090,feature 82,121
15090,feature 203,73
15090,feature 71,11
5450,feature 82,34
5450,feature 71,16
5450,feature 193,16
5450,feature 203,30
15139,feature 82,67
15139,feature 193,6
15139,feature 71,10
15139,feature 203,13
7502,feature 71,10
7502,feature 203,15
7502,feature 193,4
7502,feature 82,64
16349,feature 71,3
9040,feature 203,6
9040,feature 71,3
9040,feature 82,15
9040,feature 193,2
12694,feature 71,4
12694,feature 203,30
12694,feature 201,2
12694,feature 193,2
12694,feature 80,1
12694,feature 82,40
3267,feature 82,16
3267,feature 71,4
3267,feature 203,14
3267,feature 193,2
6678,feature 193,3
6678,feature 82,38
6678,feature 71,3
17482,feature 71,14
17482,feature 193,12
17482,feature 203,27
17482,feature 82,74
9159,feature 82,20
9159,feature 193,5
9159,feature 219,1
9159,feature 71,7
9159,feature 203,18
9159,feature 134,1
12277,feature 82,129
12277,feature 172,4
12277,feature 71,17
12277,feature 193,15
12277,feature 201,14
12277,feature 203,32
12277,feature 80,10
12277,feature 56,4
2610,feature 193,14
2610,feature 82,14
2610,feature 203,6
2610,feature 71,16
13378,feature 193,5
13378,feature 71,7
13378,feature 82,30
13378,feature 203,25
2487,feature 82,126
2487,feature 193,10
2487,feature 71,13
2487,feature 203,62
13704,feature 71,13
13704,feature 82,10
13704,feature 203,2
13704,feature 193,10
4714,feature 193,9
4714,feature 80,9
4714,feature 201,11
4714,feature 203,43
4714,feature 71,13
4714,feature 82,55
15069,feature 193,4
15069,feature 71,4
15069,feature 82,51
15069,feature 203,18
1548,feature 82,4
18443,feature 71,9
18443,feature 201,3
18443,feature 193,4
18443,feature 82,7
18443,feature 80,4
3194,feature 193,6
3194,feature 71,14
3194,feature 203,23
3194,feature 82,114
5724,feature 203,14
5724,feature 82,84
5724,feature 193,5
5724,feature 201,8
5724,feature 71,14
5724,feature 80,9
10665,feature 203,56
10665,feature 82,83
10665,feature 193,2
10665,feature 71,3
7713,feature 193,1
7713,feature 82,52
7713,feature 71,5
7713,feature 203,4
14765,feature 193,2
14765,feature 71,4
14765,feature 82,40
14765,feature 203,30
4232,feature 71,11
4232,feature 203,55
4232,feature 193,6
4232,feature 82,131
4750,feature 71,14
4750,feature 82,141
4750,feature 193,4
4750,feature 203,66
9430,feature 201,3
9430,feature 183,1
9430,feature 82,47
9430,feature 63,3
9430,feature 71,3
9430,feature 80,1
6515,feature 203,3
6515,feature 71,5
6515,feature 82,63
6515,feature 193,1
10934,feature 203,7
10934,feature 71,3
10934,feature 82,38
10934,feature 193,7
10376,feature 203,17
10376,feature 82,66
10376,feature 71,6
10376,feature 193,6
7706,feature 193,3
7706,feature 203,2
7706,feature 71,9
7706,feature 82,40
3379,feature 82,41
3379,feature 203,14
3379,feature 193,7
3379,feature 71,9
10284,feature 82,80
10284,feature 71,6
10284,feature 193,4
10284,feature 203,22
2861,feature 193,1
2861,feature 71,6
2861,feature 82,28
11778,feature 63,2
11778,feature 183,2
11778,feature 193,1
11778,feature 203,32
11778,feature 71,9
11778,feature 82,58
18458,feature 203,5
18458,feature 71,1
18458,feature 82,48
17312,feature 71,1
17312,feature 82,68
17312,feature 203,24
4026,feature 193,3
4026,feature 82,26
4026,feature 203,4
4026,feature 71,12
14940,feature 201,2
14940,feature 71,2
14940,feature 82,2
14940,feature 80,2
12675,feature 82,37
12675,feature 203,2
12675,feature 71,5
12675,feature 193,2
2554,feature 193,1
2554,feature 71,3
2554,feature 82,16
2554,feature 203,9
7244,feature 82,54
7244,feature 71,8
7244,feature 193,6
7244,feature 203,30
4348,feature 71,7
4348,feature 82,65
4348,feature 193,7
4348,feature 203,20
7791,feature 71,2
7791,feature 193,1
7791,feature 82,4
15124,feature 203,1
15124,feature 82,4
4819,feature 193,7
4819,feature 82,58
4819,feature 203,48
4819,feature 71,17
8338,feature 203,24
8338,feature 193,2
8338,feature 71,10
8338,feature 82,76
7461,feature 203,4
7461,feature 80,1
7461,feature 193,1
7461,feature 71,3
7461,feature 82,6
13890,feature 71,6
13890,feature 82,4
13890,feature 193,5
11161,feature 193,1
11161,feature 201,1
11161,feature 71,3
11161,feature 80,4
16503,feature 203,42
16503,feature 193,9
16503,feature 71,11
16503,feature 82,88
11927,feature 82,6
11927,feature 193,1
11927,feature 71,6
15145,feature 71,1
15145,feature 82,26
16580,feature 71,3
16580,feature 193,2
16580,feature 82,28
9055,feature 82,54
9055,feature 193,4
9055,feature 203,1
9055,feature 71,17
7074,feature 193,2
7074,feature 82,22
7074,feature 71,12
11501,feature 82,42
11501,feature 71,8
11501,feature 201,1
10087,feature 82,28
10087,feature 203,26
10087,feature 71,12
10087,feature 193,10
10087,feature 80,1
938,feature 82,2
938,feature 71,1
4282,feature 71,17
4282,feature 82,90
4282,feature 193,1
15339,feature 71,14
15339,feature 82,152
15339,feature 193,3
15339,feature 80,1
15339,feature 203,18
17958,feature 71,3
17958,feature 82,52
17958,feature 193,1
17958,feature 203,9
1864,feature 71,22
1864,feature 82,123
1864,feature 203,15
1864,feature 193,10
1087,feature 82,6
1087,feature 71,1
15988,feature 71,12
15988,feature 193,5
15988,feature 82,14
12750,feature 82,44
12750,feature 203,6
12750,feature 71,17
12750,feature 193,2
385,feature 82,23
385,feature 203,2
385,feature 71,12
385,feature 193,5
13146,feature 80,1
13146,feature 193,3
13146,feature 71,10
13146,feature 203,8
13146,feature 82,18
13146,feature 201,1
9233,feature 82,56
9233,feature 203,8
9233,feature 71,3
9233,feature 193,1
6750,feature 71,12
6750,feature 193,7
6750,feature 82,40
6750,feature 203,27
8399,feature 82,17
8399,feature 71,7
8399,feature 193,9
8399,feature 203,10
10534,feature 203,3
10534,feature 201,2
10534,feature 193,3
10534,feature 71,6
10534,feature 80,1
10534,feature 82,20
5323,feature 203,1
5323,feature 80,1
5323,feature 71,6
5323,feature 82,56
15492,feature 193,2
15492,feature 203,2
15492,feature 82,44
15492,feature 71,11
16366,feature 71,7
16366,feature 193,1
16366,feature 82,18
12396,feature 82,16
12396,feature 80,2
12396,feature 71,2
1107,feature 82,28
1107,feature 71,4
1107,feature 80,2
1107,feature 203,2
223,feature 80,3
223,feature 71,3
223,feature 193,1
223,feature 201,1
6051,feature 201,5
6051,feature 80,6
6051,feature 203,3
6051,feature 71,6
6051,feature 193,2
6051,feature 82,64
2271,feature 193,6
2271,feature 56,3
2271,feature 82,81
2271,feature 201,6
2271,feature 80,11
2271,feature 203,3
2271,feature 71,17
9805,feature 82,53
9805,feature 80,1
9805,feature 193,3
9805,feature 71,9
9805,feature 203,29
960,feature 201,1
960,feature 82,45
960,feature 71,5
960,feature 80,2
3341,feature 82,48
3341,feature 71,8
3341,feature 193,1
8770,feature 193,3
8770,feature 82,84
8770,feature 203,44
8770,feature 80,6
8770,feature 201,2
8770,feature 71,8
7998,feature 193,8
7998,feature 82,151
7998,feature 203,122
7998,feature 71,9
7998,feature 201,2
7998,feature 80,7
17513,feature 201,20
17513,feature 193,5
17513,feature 71,6
17513,feature 111,1
17513,feature 82,89
17513,feature 80,31
17513,feature 203,33
8181,feature 201,4
8181,feature 80,2
7397,feature 203,10
7397,feature 80,2
7397,feature 82,24
7397,feature 193,10
7397,feature 71,17
1793,feature 82,57
1793,feature 193,8
1793,feature 203,11
1793,feature 71,32
9359,feature 193,1
9359,feature 82,18
9359,feature 203,9
9359,feature 201,1
9359,feature 80,1
9359,feature 71,5
14101,feature 203,24
14101,feature 108,20
14101,feature 71,40
14101,feature 82,105
14101,feature 193,36
12454,feature 82,208
12454,feature 193,9
12454,feature 203,2
12454,feature 71,18
16706,feature 71,3
16706,feature 82,5
16706,feature 203,4
15356,feature 71,24
15356,feature 172,2
15356,feature 56,1
15356,feature 82,51
15356,feature 203,4
15356,feature 193,30
17096,feature 71,144
17096,feature 193,90
17096,feature 201,1
17096,feature 203,6
17096,feature 108,20
17096,feature 82,413
2177,feature 203,8
2177,feature 193,9
2177,feature 71,45
2177,feature 82,38
17694,feature 203,11
17694,feature 71,142
17694,feature 193,69
17694,feature 108,16
17694,feature 82,88
17538,feature 71,66
17538,feature 203,26
17538,feature 82,293
17538,feature 193,19
17538,feature 80,1
517,feature 71,121
517,feature 82,10
517,feature 203,3
517,feature 108,46
517,feature 193,145
14604,feature 108,1
14604,feature 82,58
14604,feature 71,31
14604,feature 203,7
14604,feature 193,20
17343,feature 71,5
6346,feature 193,28
6346,feature 203,37
6346,feature 71,18
6346,feature 82,66
13087,feature 193,11
13087,feature 203,8
13087,feature 82,17
13087,feature 71,18
15810,feature 71,13
15810,feature 82,38
15810,feature 193,9
15810,feature 203,20
8081,feature 82,30
8081,feature 203,12
8081,feature 193,1
8081,feature 71,2
8294,feature 193,2
8294,feature 71,1
4152,feature 82,2
4152,feature 71,2
11578,feature 203,20
11578,feature 193,3
11578,feature 82,44
11578,feature 71,10
1415,feature 71,5
1415,feature 203,1
1415,feature 82,38
1415,feature 193,2
16168,feature 193,2
16168,feature 203,2
16168,feature 82,16
16168,feature 71,9
939,feature 82,10
939,feature 203,5
16429,feature 203,9
16429,feature 82,63
16429,feature 193,12
16429,feature 71,22
8130,feature 82,45
8130,feature 71,11
8130,feature 203,15
8130,feature 193,10
8190,feature 71,14
8190,feature 203,20
8190,feature 82,40
8190,feature 193,4
12696,feature 71,4
12696,feature 203,3
12696,feature 82,8
12696,feature 193,2
4457,feature 203,4
4457,feature 71,1
4457,feature 82,8
9007,feature 82,6
9007,feature 203,6
9007,feature 201,3
9007,feature 80,3
3520,feature 71,9
3520,feature 82,30
3520,feature 203,6
3520,feature 193,6
16204,feature 82,59
16204,feature 193,4
16204,feature 71,8
16204,feature 203,37
8527,feature 82,85
8527,feature 201,9
8527,feature 193,3
8527,feature 80,9
8527,feature 71,5
12166,feature 203,13
12166,feature 80,1
12166,feature 82,30
13269,feature 238,1
13269,feature 80,1
13269,feature 317,1
13269,feature 82,4
13269,feature 203,4
12479,feature 82,4
12479,feature 193,3
12479,feature 203,4
12479,feature 71,3
4293,feature 71,9
4293,feature 193,6
4293,feature 82,37
4293,feature 203,1
17709,feature 193,2
17709,feature 71,10
17709,feature 82,25
17709,feature 203,1
12691,feature 203,19
12691,feature 71,8
12691,feature 82,31
12691,feature 193,4
16916,feature 71,13
16916,feature 193,4
16916,feature 203,12
16916,feature 82,44
11179,feature 71,7
11179,feature 193,2
11179,feature 82,22
6337,feature 82,27
6337,feature 193,2
6337,feature 203,7
6337,feature 71,5
11012,feature 80,1
11012,feature 82,24
11012,feature 203,20
14558,feature 82,24
14558,feature 193,1
14558,feature 80,3
14558,feature 203,21
14558,feature 201,4
14558,feature 71,4
6955,feature 71,6
6955,feature 193,6
6955,feature 203,2
6955,feature 82,50
6594,feature 71,19
6594,feature 82,22
6594,feature 80,2
6594,feature 193,9
6316,feature 193,4
6316,feature 71,4
6316,feature 80,1
6316,feature 203,1
6316,feature 201,3
6316,feature 82,8
8800,feature 71,12
8800,feature 80,3
8800,feature 193,5
8800,feature 203,10
8800,feature 82,94
17526,feature 82,28
17526,feature 193,5
17526,feature 71,7
5401,feature 203,26
5401,feature 71,18
5401,feature 82,186
5401,feature 193,9
12330,feature 82,38
12330,feature 71,4
12724,feature 201,7
12724,feature 80,6
4964,feature 219,1
4964,feature 134,1
3264,feature 201,7
3264,feature 80,5
17360,feature 80,1
17360,feature 201,1
10578,feature 317,1
10578,feature 238,1
13350,feature 273,1
13350,feature 170,1
13350,feature 54,1
13350,feature 268,1
13350,feature 345,1
13350,feature 342,1
11714,feature 273,3
11714,feature 170,6
11714,feature 54,3
11714,feature 345,3
3899,feature 68,3
3899,feature 179,3
208,feature 269,1
208,feature 179,1
208,feature 170,2
208,feature 68,1
208,feature 54,2
2781,feature 268,2
5875,feature 268,5
5875,feature 306,1
5875,feature 222,2
5875,feature 304,2
5875,feature 134,1
5875,feature 54,24
5875,feature 342,1
5875,feature 170,24
5875,feature 219,1
13734,feature 345,2
13734,feature 68,4
13734,feature 273,6
13734,feature 179,3
13734,feature 54,4
13734,feature 170,3
6621,feature 68,3
6621,feature 273,2
6621,feature 179,1
6621,feature 345,2
537,feature 179,1
537,feature 345,2
537,feature 68,2
14337,feature 134,1
14337,feature 219,1
599,feature 134,1
7383,feature 170,6
7383,feature 54,4
7383,feature 273,2
17249,feature 179,1
17249,feature 54,1
17249,feature 68,1
10974,feature 170,1
6351,feature 68,1
3858,feature 209,3
3858,feature 170,8
5126,feature 68,1
5126,feature 273,1
16048,feature 345,1
16048,feature 68,2
16048,feature 54,1
16048,feature 273,4
16048,feature 170,2
12324,feature 273,2
12324,feature 68,2
12161,feature 54,2
8937,feature 273,3
8937,feature 345,3
14614,feature 68,1
14614,feature 54,4
14614,feature 273,3
14614,feature 345,2
14614,feature 170,2
6170,feature 273,1
6170,feature 68,1
6170,feature 54,1
6170,feature 170,1
14447,feature 68,1
11512,feature 87,2
11090,feature 68,1
11090,feature 305,1
11090,feature 222,5
11090,feature 170,1
11090,feature 306,2
3424,feature 170,5
3424,feature 68,5
1004,feature 273,1
1004,feature 68,1
1004,feature 179,1
8206,feature 345,1
5537,feature 345,1
5537,feature 273,1
5537,feature 179,1
5537,feature 68,1
17038,feature 170,2
17038,feature 54,2
17038,feature 179,4
17038,feature 68,4
17038,feature 345,2
17038,feature 273,2
9116,feature 345,4
9116,feature 68,4
9116,feature 179,4
18416,feature 68,3
18416,feature 273,3
18416,feature 345,1
18416,feature 179,3
3407,feature 345,2
3407,feature 54,2
7775,feature 227,1
7775,feature 232,1
7728,feature 227,1
7728,feature 312,1
7728,feature 232,1
7728,feature 307,1
1730,feature 134,1
4979,feature 171,1
13214,feature 54,12
5629,feature 85,1
3575,feature 54,1
3575,feature 206,2
1646,feature 54,2
1646,feature 170,4
9022,feature 170,1
5087,feature 54,1
5087,feature 170,1
5358,feature 54,2
5358,feature 170,3
5599,feature 54,2
5599,feature 68,1
5599,feature 170,3
9350,feature 68,1
9350,feature 170,2
9350,feature 54,1
14867,feature 54,1
6385,feature 170,2
6385,feature 54,1
11027,feature 280,1
90,feature 68,1
15956,feature 170,3
15956,feature 54,3
12401,feature 85,2
10992,feature 54,2
12366,feature 54,2
12366,feature 207,1
12366,feature 62,1
12366,feature 86,1
12366,feature 170,2
12366,feature 182,1
5260,feature 207,1
5260,feature 170,2
5260,feature 182,1
2603,feature 86,1
14768,feature 68,2
14768,feature 54,1
10104,feature 54,151
10104,feature 20,1
10104,feature 103,100
15025,feature 170,2
11285,feature 68,1
11285,feature 54,4
11285,feature 170,4
1964,feature 54,1
8118,feature 68,1
8118,feature 170,3
18439,feature 54,4
18439,feature 170,6
8645,feature 170,1
8645,feature 54,1
2023,feature 170,4
2023,feature 54,4
94,feature 68,1
94,feature 54,2
94,feature 170,9
16483,feature 54,7
16483,feature 170,5
7329,feature 54,1
7329,feature 170,1
9039,feature 170,2
9039,feature 54,3
6310,feature 68,3
15761,feature 68,1
6982,feature 68,1
17860,feature 68,1
9442,feature 206,1
9442,feature 85,1
16590,feature 85,1
25,feature 206,1
1957,feature 204,2
1957,feature 182,1
1957,feature 87,1
1957,feature 170,26
1957,feature 207,1
1957,feature 219,1
1957,feature 134,1
1957,feature 209,5
1957,feature 206,1
10214,feature 54,1
9921,feature 209,1
9921,feature 87,1
14209,feature 85,1
14209,feature 209,1
14209,feature 206,1
14209,feature 87,1
2626,feature 209,1
14606,feature 54,1
14606,feature 209,1
14606,feature 87,1
11483,feature 87,1
16817,feature 87,1
16817,feature 206,1
9632,feature 170,18
9632,feature 54,18
9632,feature 62,1
9632,feature 83,2
9632,feature 87,4
9632,feature 182,1
9632,feature 209,4
9632,feature 204,2
15407,feature 182,1
15407,feature 209,4
15407,feature 204,2
15407,feature 170,17
6455,feature 170,2
6455,feature 54,2
7011,feature 206,1
5289,feature 219,2
5289,feature 134,2
5289,feature 135,1
1902,feature 54,2
6164,feature 209,1
6164,feature 87,1
14344,feature 54,1
14344,feature 87,3
1589,feature 182,1
1589,feature 204,2
1589,feature 170,17
1589,feature 54,17
1589,feature 62,1
1589,feature 87,4
1589,feature 83,2
1589,feature 209,4
7509,feature 170,17
7509,feature 182,1
7509,feature 204,2
7509,feature 209,4
18239,feature 170,7
18239,feature 54,4
3391,feature 170,1
3391,feature 54,1
10939,feature 170,2
10939,feature 54,1
6857,feature 54,4
6857,feature 170,6
3433,feature 219,2
3433,feature 134,2
14758,feature 68,1
7222,feature 65,1
15476,feature 68,1
13162,feature 195,2
13162,feature 73,3
15441,feature 195,8
15441,feature 73,9
6813,feature 73,2
6813,feature 195,2
1120,feature 73,4
1120,feature 195,4
13916,feature 73,2
13916,feature 195,1
3281,feature 73,1
3281,feature 195,1
15933,feature 73,1
1899,feature 135,1
1899,feature 73,14
1899,feature 195,14
3769,feature 55,1
3769,feature 171,1
3769,feature 195,58
3769,feature 73,59
17049,feature 195,56
17049,feature 73,57
15814,feature 73,3
15814,feature 195,3
14597,feature 73,1
14597,feature 195,2
9019,feature 55,1
3860,feature 68,1
3860,feature 202,1
12002,feature 202,2
12002,feature 81,1
10479,feature 219,1
10479,feature 134,1
4715,feature 134,1
13803,feature 55,2
13803,feature 171,2
4069,feature 55,1
4219,feature 55,1
4219,feature 171,2
10573,feature 171,11
10573,feature 55,8
4969,feature 171,1
4969,feature 55,1
9908,feature 55,2
6197,feature 68,1
6197,feature 171,1
8583,feature 55,3
8583,feature 171,1
15370,feature 171,3
5493,feature 171,1
3199,feature 68,1
3199,feature 171,1
3199,feature 55,2
1309,feature 45,1
1309,feature 161,1
17232,feature 161,1
1005,feature 170,1
1005,feature 54,1
9470,feature 54,5
9470,feature 170,5
10359,feature 134,1
18456,feature 134,1
18456,feature 219,1
6718,feature 68,1
1370,feature 170,1
14897,feature 68,1
1973,feature 170,2
7657,feature 54,12
7657,feature 170,12
862,feature 170,12
10478,feature 209,11
10478,feature 207,1
10478,feature 54,1
10478,feature 170,36
10478,feature 206,1
10794,feature 134,1
10794,feature 85,1
10794,feature 209,10
10794,feature 170,12
10794,feature 54,12
10794,feature 87,11
6870,feature 170,11
6870,feature 209,9
4022,feature 209,4
4022,feature 87,2
5587,feature 87,2
5587,feature 209,1
4378,feature 134,1
4378,feature 301,1
16987,feature 134,1
17248,feature 181,1
17248,feature 160,1
17248,feature 44,1
17248,feature 232,1
17248,feature 312,1
16288,feature 301,2
16288,feature 221,1
18157,feature 232,3
18157,feature 307,1
18157,feature 227,1
18157,feature 312,3
407,feature 301,2
407,feature 219,1
407,feature 312,2
407,feature 307,2
407,feature 134,1
8270,feature 219,2
8270,feature 134,1
8270,feature 301,2
16719,feature 221,1
16719,feature 301,1
3638,feature 312,2
3638,feature 232,1
10716,feature 134,1
10716,feature 219,1
10716,feature 301,1
16676,feature 312,1
16676,feature 232,1
4561,feature 232,1
4561,feature 312,1
4561,feature 307,1
7535,feature 312,1
10244,feature 307,1
10244,feature 312,1
10244,feature 301,1
103,feature 211,2
103,feature 134,1
103,feature 44,2
103,feature 160,3
103,feature 94,2
103,feature 301,2
103,feature 307,3
103,feature 312,2
103,feature 219,1
4997,feature 181,1
4997,feature 312,1
17282,feature 134,1
17282,feature 181,1
17282,feature 232,1
17282,feature 219,1
17282,feature 312,1
15039,feature 219,1
15039,feature 134,1
10525,feature 54,1
15221,feature 87,10
15221,feature 209,9
15221,feature 62,1
15221,feature 85,1
15221,feature 54,12
15221,feature 170,12
15221,feature 182,1
12992,feature 182,1
12992,feature 54,1
12992,feature 170,11
12992,feature 209,9
13528,feature 209,1
13528,feature 87,2
906,feature 87,9
906,feature 209,6
8422,feature 87,3
8422,feature 209,2
3073,feature 219,1
3073,feature 134,1
7850,feature 134,1
10741,feature 55,1
6343,feature 134,1
6343,feature 219,1
1697,feature 219,1
15289,feature 219,1
15289,feature 134,1
17719,feature 219,1
17719,feature 134,1
14544,feature 219,1
14544,feature 134,1
13712,feature 164,1
11436,feature 219,1
11436,feature 134,1
13149,feature 134,10
13149,feature 219,10
13149,feature 73,1
13149,feature 195,1
747,feature 312,1
747,feature 232,1
946,feature 134,1
946,feature 301,1
7731,feature 232,1
7731,feature 312,1
3453,feature 221,1
3453,feature 301,2
7630,feature 307,1
7630,feature 232,4
7630,feature 312,4
1462,feature 312,5
1462,feature 232,6
17115,feature 232,1
17115,feature 312,2
18136,feature 227,1
18136,feature 232,2
18136,feature 312,2
18136,feature 307,2
11488,feature 301,2
11488,feature 134,1
11488,feature 219,2
12246,feature 312,1
1708,feature 301,1
1708,feature 221,1
11359,feature 301,1
11359,feature 219,1
11359,feature 134,1
1647,feature 181,1
8108,feature 312,1
8108,feature 307,1
8108,feature 232,1
9799,feature 232,2
9799,feature 227,3
9799,feature 307,2
9799,feature 312,2
2649,feature 307,1
2649,feature 312,1
7550,feature 307,1
7550,feature 232,1
7550,feature 227,1
7550,feature 312,3
4291,feature 219,1
4291,feature 134,1
1592,feature 312,3
1592,feature 232,3
4272,feature 312,2
4272,feature 232,2
9092,feature 312,3
9092,feature 134,1
9092,feature 301,1
9092,feature 307,2
9092,feature 227,2
9092,feature 232,3
9092,feature 219,1
17945,feature 301,1
17945,feature 221,1
9709,feature 307,1
9709,feature 227,1
9709,feature 312,1
9709,feature 232,1
6632,feature 301,2
17882,feature 312,1
17882,feature 232,1
9384,feature 232,2
9384,feature 312,2
7987,feature 312,2
7987,feature 232,1
11378,feature 301,2
11378,feature 219,2
11378,feature 134,1
4679,feature 219,1
4679,feature 134,1
4679,feature 301,1
3982,feature 134,1
3982,feature 301,1
12991,feature 232,1
12991,feature 312,4
12290,feature 232,3
12290,feature 312,7
11998,feature 232,3
11998,feature 312,3
4865,feature 312,1
4865,feature 232,1
4865,feature 313,1
15048,feature 232,2
15048,feature 312,3
6150,feature 307,1
6150,feature 301,1
6150,feature 232,1
6150,feature 312,1
6150,feature 227,1
1594,feature 315,2
1594,feature 233,1
1594,feature 235,1
1594,feature 313,3
934,feature 307,1
934,feature 227,1
934,feature 312,2
934,feature 232,2
2674,feature 232,1
2674,feature 312,3
2452,feature 312,1
2452,feature 160,1
2452,feature 211,1
2452,feature 44,1
2452,feature 94,1
2530,feature 307,1
2530,feature 232,1
2530,feature 312,2
5419,feature 312,1
11967,feature 312,4
11967,feature 232,2
11967,feature 307,1
3697,feature 227,2
3697,feature 307,2
3697,feature 312,2
3697,feature 232,2
5053,feature 312,3
11810,feature 232,2
11810,feature 312,4
12375,feature 312,2
17288,feature 232,4
17288,feature 312,4
15565,feature 312,11
15565,feature 232,6
12976,feature 44,1
12976,feature 211,1
12976,feature 160,2
12976,feature 94,1
17817,feature 232,2
17817,feature 312,1
